OBJCONT	STRATUM	CASENUM	WEIGHT	E_ACTION	EVENTNUM	GAD	OBJGAD	PJ	PSU	REGION	VEHNUM
138	5	200910423410	53.887	3	2	99	98	4	2	1	1
2	3	200910423413	53.887	4	1	1	1	4	2	1	1
2	4	200910423414	323.32	4	1	1	1	4	2	1	1
2	6	200910423420	179.707	4	1	1	2	10	2	1	1
2	4	200910423422	269.56	5	1	4	1	10	2	1	1
2	5	200910423427	89.853	5	1	2	1	10	2	1	1
2	5	200910423430	81.438	4	1	1	4	2	2	1	1
136	6	200910423431	135.73	3	1	1	98	1	2	1	1
137	6	200910423431	135.73	3	2	1	98	1	2	1	1
158	6	200910423431	135.73	3	3	1	98	1	2	1	1
2	3	200910423440	27.146	4	1	1	4	3	2	1	1
2	1	200910423443	27.146	4	1	1	1	3	2	1	1
2	4	200910423446	298.606	4	1	1	4	3	2	1	1
2	1	200910423449	49.28	4	1	1	1	6	2	1	1
138	5	200910423451	49.28	3	1	1	98	6	2	1	1
101	5	200910423451	49.28	1	2	0	98	6	2	1	1
2	6	200910423489	147.841	5	1	4	1	6	2	1	1
137	5	200910423492	49.28	3	1	1	98	6	2	1	1
2	5	200910423493	49.28	4	1	1	2	6	2	1	1
124	6	200910423495	147.841	2	1	1	98	6	2	1	1
2	5	200910423500	57.524	4	1	1	4	9	2	1	1
135	5	200910423500	57.524	3	2	3	98	9	2	1	1
2	6	200910423502	115.047	4	1	1	1	9	2	1	1
3	6	200910423502	115.047	4	2	99	3	9	2	1	1
3	6	200910423502	115.047	4	3	1	1	9	2	1	2
134	4	200910423506	287.619	3	1	5	98	9	2	1	1
2	5	200910423508	57.524	5	1	4	1	9	2	1	1
2	6	200910423509	115.047	5	1	12	2	9	2	1	1
145	6	200910423509	115.047	3	2	3	98	9	2	1	1
145	6	200910423509	115.047	3	3	1	98	9	2	1	1
101	2	200910423511	27.146	1	1	0	98	2	2	1	1
138	6	200910423513	135.73	3	1	5	98	2	2	1	1
101	6	200910423513	135.73	1	2	0	98	2	2	1	1
2	4	200910423514	298.606	4	1	2	4	2	2	1	1
158	2	200910423516	27.146	3	1	99	98	2	2	1	1
134	2	200910423516	27.146	3	2	99	98	2	2	1	1
