MACTION	REGION	STRATUM	CASENUM	WEIGHT	PERNO	PJ	PSU
99	3	3	200916132624	41.417	1	6	43
0	3	3	200916132958	12.222	1	1	43
0	3	3	200916133782	12.222	1	1	43
7	3	3	200916133938	41.417	1	6	43
0	3	3	200916134453	12.222	1	1	43
98	3	3	200916134487	12.222	1	3	43
22	3	3	200916134965	12.222	1	2	43
0	3	3	200916135004	12.222	1	1	43
0	3	3	200916135346	12.222	1	1	43
98	3	3	200916135406	12.222	1	1	43
22	3	3	200916135440	12.222	1	1	43
29	3	3	200916135455	12.222	1	1	43
0	3	2	200916135544	41.417	1	6	43
98	3	3	200916135992	12.222	1	1	43
21	3	4	200916136047	305.538	1	1	43
98	3	3	200916136112	12.222	1	1	43
0	3	4	200916136386	305.538	1	1	43
22	3	3	200916136823	12.222	1	1	43
98	3	3	200916137043	12.222	1	1	43
0	3	3	200916137052	12.222	1	1	43
21	3	3	200916137705	12.222	1	3	43
22	3	3	200916137736	12.222	1	1	43
22	3	3	200916137736	12.222	2	1	43
0	3	3	200916137818	12.222	1	3	43
0	3	3	200916139069	12.222	1	1	43
0	3	3	200916139069	12.222	2	1	43
0	3	3	200916543832	20.212	1	2	45
7	3	3	200916543938	20.212	1	1	45
8	3	3	200916543938	20.212	1	1	45
21	3	3	200916544434	20.212	1	1	45
98	3	3	200916544495	20.212	1	2	45
29	3	3	200916544963	20.212	1	1	45
29	3	3	200916544963	20.212	2	1	45
0	3	2	200916545648	10.106	1	1	45
5	3	3	200916545802	20.212	1	2	45
7	3	3	200916545802	20.212	1	2	45
0	3	3	200916546114	20.212	1	1	45
7	3	3	200916546338	20.212	1	1	45
8	3	3	200916546338	20.212	1	1	45
0	3	3	200916547086	20.212	1	2	45
2	3	3	200916547594	20.212	1	1	45
5	3	3	200916547594	20.212	1	1	45
7	3	3	200916547594	20.212	1	1	45
21	3	3	200916548075	20.212	1	2	45
98	3	3	200916548379	20.212	1	1	45
29	3	3	200916548848	20.212	1	1	45
98	3	3	200916548902	20.212	1	2	45
5	3	3	200916549407	20.212	1	1	45
0	3	3	200916549581	20.212	1	1	45
21	3	3	200916549633	20.212	1	2	45
21	3	3	200916549703	20.212	1	1	45
0	3	1	200916549917	10.106	1	1	45
0	3	1	200916549917	10.106	2	1	45
98	3	3	200916549996	20.212	1	2	45
98	3	3	200916550059	20.212	1	1	45
