CASENUM	VEH_NO	PER_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	MSAFEQMT
201113546140	0	1	19.0507	2	3	1	11	6	1
201113546193	0	1	19.0507	2	3	3	11	6	1
201113546199	0	1	19.0507	2	3	3	11	6	1
201113546272	0	1	19.0507	2	3	1	11	6	1
201113546273	0	1	19.0507	2	3	1	11	6	1
201113546374	0	1	19.0507	2	3	1	11	6	2
201113546429	0	1	19.0507	2	3	3	11	6	2
201113546621	0	1	228.6084	2	4	3	11	6	1
201113546711	0	1	19.0507	2	3	3	11	6	1
201113546712	0	1	19.0507	2	3	3	11	6	1
201113546858	0	1	19.0507	2	3	3	11	6	1
201113546865	0	1	19.0507	2	3	3	11	6	1
201113546934	0	1	19.0507	2	3	1	11	6	1
201113546955	0	1	19.0507	2	3	3	11	6	1
201113547045	0	1	19.0507	2	3	3	11	6	1
201113547048	0	1	19.0507	2	3	3	11	6	1
201113547105	0	1	19.0507	2	3	3	11	6	2
201113547107	0	1	19.0507	2	3	3	11	6	2
201113547144	0	1	19.0507	2	3	3	11	6	9
201113547159	0	1	19.0507	2	3	3	11	6	1
201113547170	0	1	19.0507	2	3	5	11	6	1
201113547254	0	1	19.0507	2	3	1	11	6	1
201113547421	0	1	19.0507	2	3	5	11	6	1
201113547517	0	1	19.0507	2	3	3	11	6	2
201113547517	0	2	19.0507	2	3	3	11	6	8
201113547521	0	1	19.0507	2	3	3	11	6	2
201113547778	0	1	19.0507	2	3	1	11	6	2
201113547902	0	1	19.0507	2	3	5	11	6	1
201113548172	0	1	19.0507	2	3	3	11	6	1
201113548180	0	1	19.0507	2	3	5	11	6	1
201113548303	0	1	19.0507	2	3	3	11	6	1
201113548435	0	1	19.0507	2	3	3	11	6	1
201113548436	0	1	19.0507	2	3	3	11	6	1
201113548702	0	1	19.0507	2	3	2	11	6	1
201113548806	0	1	19.0507	2	3	3	11	6	1
201113548827	0	1	19.0507	2	3	3	11	6	1
201113548838	0	1	19.0507	2	3	3	11	6	1
201113549111	0	1	19.0507	2	2	3	11	6	1
201113549195	0	1	19.0507	2	3	3	11	6	1
201113549286	0	1	19.0507	2	3	1	11	6	1
201113549331	0	1	19.0507	2	3	3	11	6	1
201113549343	0	1	19.0507	2	3	1	11	6	1
201113549599	0	1	19.0507	2	3	3	11	6	1
201113549709	0	1	19.0507	2	3	3	11	6	1
201113549831	0	1	19.0507	2	3	1	11	6	1
201113800251	0	1	14.3925	3	3	6	9	8	1
201113800507	0	1	14.3925	3	3	6	9	8	1
201113800594	0	1	14.3925	3	3	6	9	8	1
201114074227	0	1	228.66305	2	4	9	12	5	8
201114074676	0	1	12.6052	2	3	1	12	5	1
201114075226	0	1	12.211288	2	3	5	12	5	1
201114075698	0	1	12.6052	2	3	4	12	5	1
201114075908	0	1	12.6052	2	3	1	12	5	1
201114075932	0	1	219.803184	2	4	5	12	5	1
201114076732	0	1	226.8936	2	4	4	12	5	1
201114077077	0	1	20.78755	2	3	9	12	5	1
201114077574	0	1	20.78755	2	3	9	12	5	1
201114077641	0	1	83.684662	2	3	14	12	5	1
201114077779	0	1	12.6052	2	3	1	12	5	1
201114077996	0	1	12.211288	2	3	5	12	5	1
201114078025	0	1	12.6052	2	3	3	12	5	1
201114078121	0	1	12.211288	2	3	5	12	5	1
201114078142	0	1	12.211288	2	3	5	12	5	8
201114078222	0	1	12.6052	2	3	4	12	5	1
